feature,importance
months_at_employer,7479
debt_to_income,6823
monthly_income_usd,6822
annual_rate_pct,6696
income_per_dependent,6546
avg_loan_per_obligation,6345
amount_usd,6169
total_interest_cost,6027
province_x_sector,5645
rate_x_term,5579
loan_duration_days,5459
rate_x_obligations,5157
time_to_first_payment_days,5114
obligation_burden,4907
disburse_lag_days,4667
approval_month,3922
product_x_purpose,3715
approval_dayofweek,3078
loan_purpose,2959
employment_sector,2790
num_dependents,2769
province,2296
collateral_type,2261
disbursement_channel,2101
loan_to_income_ratio,1417
marital_status,1232
existing_obligations,866
client_gender,735
product_code,662
payment_frequency,473
approval_quarter,426
approval_is_month_end,367
term_months,329
strong_collateral,294
guarantor_only,247
agriculture_sector_flag,213
months_at_employer_missing,174
urban_province,172
salary_backed_loan,141
has_collateral,128
high_risk_purpose,112
monthly_income_usd_missing,99
num_dependents_missing,93
agri_loan_in_agri_province,93
annual_rate_pct_missing,81
high_risk_province,68
informal_sector_flag,40
marital_status_missing,38
high_rate_mfi_loan,37
low_risk_sector,36
collateral_type_missing,30
bank_rate_loan,27
low_risk_purpose,25
employment_sector_missing,12
emergency_loan,5
loan_purpose_missing,2
